"NearFut.avg_C.Diffs.10","NearFut.avg_C.mean.10","NearFut.avg_C.Diffs.90","NearFut.avg_C.mean.90","NearFut.avg_C.Diffs.Med","NearFut.avg_C.mean.med ","avg_C_rollmean.10","avg_C_rollmean.90","avg_C_rollmean.med"
-1.62400479262673,10.2668650230415,2.36479705069125,14.2556668663594,0.438057419354838,NA,9.74633333333333,13.0571666666667,11.5683333333333
-1.62405437788018,10.3601622119816,2.40235115207373,14.3865677419355,0.437132258064516,NA,10.0816666666667,13.1656666666667,11.7791666666667
-1.62410396313364,10.4534594009217,2.43990525345622,14.5174686175115,0.436207096774193,NA,10.3495,13.5701666666667,11.935
-1.6241535483871,10.5467565898618,2.47745935483871,14.6483694930876,0.435281935483871,NA,10.2505,13.7378333333333,12.1883333333333
-1.62420313364055,10.6400537788018,2.5150134562212,14.7792703686636,0.434356774193548,NA,10.2455,13.6958333333333,12.2475
-1.62425271889401,10.7333509677419,2.55256755760369,14.9101712442396,0.433431612903225,NA,10.3456666666667,13.6881666666667,12.3116666666667
-1.62430230414746,10.826648156682,2.59012165898618,15.0410721198157,0.432506451612903,NA,10.5051666666667,13.8608333333333,12.3675
-1.62435188940092,10.9199453456221,2.62767576036867,15.1719729953917,0.43158129032258,NA,10.5451666666667,13.9928333333333,12.4283333333333
-1.62440147465438,11.0132425345622,2.66522986175115,15.3028738709677,0.430656129032258,NA,10.6035,14.3273333333333,12.7033333333333
-1.62445105990783,11.1065397235023,2.70278396313364,15.4337747465438,0.429730967741935,NA,10.6808333333333,14.547,12.9133333333333
-1.62450064516129,11.1998369124424,2.74033806451613,15.5646756221198,0.428805806451613,NA,10.785,14.7621666666667,13.0375
-1.62455023041475,11.2931341013825,2.77789216589862,15.6955764976959,0.42788064516129,NA,10.8285,14.9928333333333,12.9991666666667
-1.6245998156682,11.3864312903226,2.81544626728111,15.8264773732719,0.426955483870967,NA,10.9911666666667,15.1625,12.8666666666667
-1.62464940092166,11.4797284792627,2.8530003686636,15.9573782488479,0.426030322580645,NA,11.1656666666667,15.4223333333333,12.95
-1.62469898617511,11.5730256682028,2.89055447004609,16.088279124424,0.425105161290322,NA,11.2831666666667,15.7358333333333,13.1516666666667
-1.62474857142857,11.6663228571429,2.92810857142857,16.21918,0.42418,NA,11.346,15.8015,13.2833333333333
-1.60345430217248,11.8268472942725,2.91438144502963,16.3446830414747,0.425017142857143,NA,11.5771666666667,15.8303333333333,13.3441666666667
-1.58216003291639,11.9873717314022,2.90065431863068,16.4701860829493,0.425854285714286,NA,11.9075,15.9331666666667,13.4525
-1.5608657636603,12.1478961685319,2.88692719223173,16.595689124424,0.426691428571428,NA,12.0723333333333,16.0905,13.565
-1.53957149440421,12.3084206056616,2.87320006583279,16.7211921658986,0.427528571428571,NA,12.1521666666667,16.1855,13.6791666666667
-1.51827722514812,12.4689450427913,2.85947293943384,16.8466952073733,0.428365714285714,NA,12.3175,16.2125,14.1116666666667
-1.49698295589203,12.629469479921,2.84574581303489,16.9721982488479,0.429202857142857,NA,12.4401666666667,16.3183333333333,14.2833333333333
-1.47568868663594,12.7899939170507,2.83201868663595,17.0977012903226,0.43004,NA,12.3625,16.4456666666667,14.4383333333333
-1.45439441737985,12.9505183541804,2.818291560237,17.2232043317972,0.430877142857143,NA,12.6286666666667,16.4788333333333,14.4991666666667
-1.43310014812376,13.1110427913101,2.80456443383805,17.3487073732719,0.431714285714286,NA,12.4403333333333,16.5186666666667,14.5741666666667
-1.41180587886768,13.2715672284398,2.79083730743911,17.4742104147465,0.432551428571429,NA,12.462,16.4486666666667,14.655
-1.39051160961159,13.4320916655695,2.77711018104016,17.5997134562212,0.433388571428572,NA,12.5328333333333,16.7848333333333,14.8525
-1.3692173403555,13.5926161026991,2.76338305464121,17.7252164976959,0.434225714285714,NA,12.771,17.1228333333333,15.1308333333333
-1.34792307109941,13.7531405398288,2.74965592824227,17.8507195391705,0.435062857142857,NA,13.1788333333333,17.4266666666667,15.24
-1.32662880184332,13.9136649769585,2.73592880184332,17.9762225806452,0.4359,NA,13.3118333333333,17.6451666666667,15.3016666666667
-1.30533453258723,14.0741894140882,2.72220167544438,18.1017256221198,0.436737142857143,NA,13.3766666666667,17.6811666666667,15.3533333333333
-1.28404026333114,14.2347138512179,2.70847454904543,18.2272286635945,0.437574285714286,NA,13.6136666666667,17.7405,15.485
-1.26274599407505,14.3952382883476,2.69474742264648,18.3527317050691,0.438411428571429,NA,13.8106666666667,17.6635,15.6341666666667
-1.24145172481896,14.5557627254773,2.68102029624754,18.4782347465438,0.439248571428572,NA,13.9186666666667,17.6961666666667,15.8966666666667
-1.22015745556287,14.716287162607,2.66729316984859,18.6037377880184,0.440085714285715,NA,14.0228333333333,17.7885,16.1225
